"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"A1BG",3.4325130622046e-06,9.71710023072283e-07,2.25880175987763e-07,5.11452791884403e-07,5.08645274176758e-07,7.09748556691967e-06
"A1BG-AS1",8.20818340961969e-06,9.52275822610837e-06,1.73927735510577e-05,9.71760304580367e-06,1.54289066500283e-05,5.83825425665973e-05
"A1CF",4.47719095070165e-07,2.52644605998794e-06,7.90580615957169e-06,5.2850121828055e-06,5.08645274176758e-07,2.28951147319989e-07
"A2M",3.05941381631279e-05,3.43985348167588e-05,1.60374924951312e-05,1.99466588834917e-05,9.13866009270908e-05,8.47119245083961e-06
"A2M-AS1",7.01426582276592e-06,1.94342004614457e-07,1.58116123191434e-06,1.53435837565321e-06,1.64461971983818e-05,3.31979163613985e-05
"A2ML1",3.13403366549116e-06,9.71710023072283e-07,8.35756651154722e-06,6.64888629449725e-06,1.69548424725586e-07,2.28951147319989e-07
"A4GALT",4.47719095070165e-07,1.45756503460842e-05,2.37174184787151e-05,4.00638020309449e-05,1.1868389730791e-06,6.15878586290772e-05
"A4GNT",1.64163668192394e-06,1.94342004614457e-07,5.64700439969407e-06,1.70484263961468e-07,1.69548424725586e-07,1.60265803123993e-06
"AAAS",1.49239698356722e-07,9.71710023072283e-07,2.03292158388986e-06,2.23334385789523e-05,5.25600116649316e-06,2.77030888257187e-05
"AACS",4.47719095070165e-07,1.92398584568312e-05,2.25880175987763e-07,1.10814771574954e-05,8.47742123627929e-07,1.60265803123993e-06
"AADAC",4.47719095070165e-07,1.94342004614457e-07,3.38820263981644e-06,3.58016954319082e-06,1.69548424725586e-07,3.43426720979984e-06
"AADAT",1.05960185833272e-05,1.74907804153011e-06,2.48468193586539e-06,5.11452791884403e-07,3.5605169192373e-06,6.86853441959968e-07
"AAGAB",2.31321532452919e-05,1.88511744476023e-05,2.41691788306906e-05,1.53435837565321e-06,5.08645274176758e-07,2.77030888257187e-05
"AAK1",0.000421900627254452,0.00018054372228683,0.000306519398815394,0.000574361485286185,0.000185655525074517,8.49408756557161e-05
"AAMDC",1.04467788849705e-06,4.13948469828792e-05,3.38820263981644e-06,3.35854000004092e-05,6.69716277666064e-05,7.07459045218767e-05
"AAMP",1.3431572852105e-06,4.6836423112084e-05,2.01033356629109e-05,1.24453512691872e-05,1.1868389730791e-06,2.97636491515986e-06
"AANAT",1.3431572852105e-06,3.69249808767467e-06,2.25880175987763e-07,8.52421319807339e-07,5.08645274176758e-07,2.58714796471588e-05
"AAR2",1.49239698356722e-07,5.63591813381924e-06,6.09876475166959e-06,1.19338984773027e-06,5.08645274176758e-07,1.60265803123993e-06
"AARS1",1.49239698356722e-07,8.53161400257464e-05,1.78445339030333e-05,5.0292857868633e-05,2.72972963808193e-05,6.63958327227969e-06
"AARS2",9.99905978990035e-06,6.5104571545843e-05,3.63667083340298e-05,6.76822527927027e-05,5.98505939281318e-05,6.63958327227969e-06
"AARSD1",2.10427974682978e-05,1.94342004614457e-07,6.77640527963288e-07,2.88118406094881e-05,7.96877596210254e-06,4.69349852005978e-05
"AASDH",2.53707487206427e-06,6.41328615227707e-06,2.59762202385927e-05,1.58550365484165e-05,5.25600116649316e-06,6.86853441959968e-07
"AASDHPPT",9.53641672499452e-05,1.45756503460842e-05,2.48468193586539e-06,0.000213616782743719,1.1868389730791e-06,0.000504379377545937
"AASS",6.55162275786008e-05,7.67650918227103e-05,1.12940087993881e-06,8.69469746203486e-06,9.00302135292861e-05,6.63958327227969e-06
"AATBC",2.2535194451865e-05,8.74539020765055e-06,5.17265603011977e-05,3.58016954319082e-06,3.22142006978613e-06,3.73190370131583e-05
"AATF",1.23868949636079e-05,1.80738064291445e-05,1.37786907352535e-05,1.70484263961468e-07,6.27329171484668e-06,1.16765085133195e-05
"AATK",8.20818340961969e-06,1.03001262445662e-05,1.96515753109354e-05,1.92647218276459e-05,1.71243908972842e-05,2.99926002989186e-05
"ABAT",0.000402499466468078,5.8302601384337e-07,0.00018680290554188,0.000339434169547282,1.69548424725586e-07,8.53987779503561e-05
"ABCA1",3.73099245891804e-06,6.41328615227707e-06,1.69410131990822e-05,2.98347461932569e-05,5.08645274176758e-07,1.76292383436392e-05
