"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"A1BG",6.36793861482843e-06,1.79941295951609e-07,2.78209930536545e-07,4.97549450492171e-06,2.14934879030351e-07,5.89554509030796e-07
"A1BG-AS1",1.20771249591574e-05,1.61947166356448e-06,6.31536542317956e-05,2.29820460465431e-05,1.56902461692157e-05,1.78831534406008e-05
"A1CF",2.19584090166497e-07,8.99706479758044e-07,2.78209930536545e-07,5.44935112443807e-06,7.952590524123e-06,9.8259084838466e-07
"A2M",5.90681202547878e-05,1.25958907166126e-06,1.19630270130714e-05,8.79004029202836e-05,6.44804637091054e-07,0.000144833891051899
"A2M-AS1",1.53708863116548e-06,1.25958907166126e-06,8.06808798555979e-06,4.09885975881646e-05,1.07467439515176e-06,2.06344078160779e-05
"A2ML1",9.0029476968264e-06,8.99706479758044e-07,4.17314895804817e-06,2.36928309758177e-07,6.44804637091054e-07,4.9129542419233e-06
"A4GALT",0.00010342410646842,1.79941295951609e-07,3.61672909697508e-06,1.18464154879088e-06,2.04188135078834e-05,1.39527900470622e-05
"A4GNT",1.09792045083249e-06,2.69911943927413e-06,8.34629791609634e-07,3.55392464637265e-06,6.44804637091054e-07,1.96518169676932e-07
"AAAS",2.04213203854843e-05,1.06165364611449e-05,1.53015461795099e-05,1.25572004171834e-05,1.93441391127316e-06,1.96518169676932e-07
"AACS",3.73292953283046e-06,1.25958907166126e-06,6.95524826341361e-06,1.18464154879088e-06,1.82694647175799e-05,2.55473620580012e-06
"AADAC",2.85459317216447e-06,8.99706479758044e-07,2.78209930536545e-07,4.02778126588901e-06,1.07467439515176e-06,1.96518169676932e-07
"AADAT",5.92877043449543e-06,1.25958907166126e-06,2.78209930536545e-07,2.60621140733994e-06,6.44804637091054e-07,1.1594572010939e-05
"AAGAB",1.53708863116548e-06,1.96136012587254e-05,4.0896859788872e-05,7.1078492927453e-07,2.72967296368546e-05,2.55473620580012e-06
"AAK1",6.47773065991167e-05,0.000450393063766877,0.000225071833804065,0.000273652197770694,0.00032390686269874,0.000258421393125166
"AAMDC",6.96081565827797e-05,3.2209491975338e-05,8.34629791609634e-07,5.44935112443807e-06,0.000108112244152267,3.67488977295863e-05
