"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"A1BG",5.86247799128054e-07,4.69121192143283e-07,7.28313376737574e-07,1.06243099510687e-06,1.08147048203567e-05,8.91544025870468e-07
"A1BG-AS1",2.5404071295549e-06,1.56373730714428e-07,1.21385562789596e-06,7.45826558565021e-05,2.36157839954728e-05,2.15753654260653e-05
"A1CF",1.36791153129879e-06,1.56373730714428e-07,3.15602463252949e-06,7.01204456770533e-06,5.95912306427819e-06,5.34926415522281e-07
"A2M",9.77079665213423e-07,4.84758565214726e-06,5.36524187530013e-05,2.76232058727786e-06,0.000123817334780002,0.000119288590661469
"A2M-AS1",1.36791153129879e-06,1.09461611500099e-06,4.4427115980992e-05,3.12354712561419e-05,6.40053958755806e-06,2.6746320776114e-06
"A2ML1",6.05789392432323e-06,4.69121192143283e-07,2.42771125579191e-07,2.12486199021374e-07,1.3021787436756e-05,8.91544025870468e-07
"A4GALT",3.71290272781101e-06,1.09461611500099e-06,3.15602463252949e-06,6.05585667210915e-05,4.08310284033876e-05,2.58547767502436e-05
"A4GNT",1.36791153129879e-06,1.09461611500099e-06,2.18494013021272e-06,1.48740339314961e-06,1.9863743547594e-06,1.78308805174094e-07
"AAAS",1.46561949782014e-05,3.9093432678607e-06,1.21385562789596e-06,3.37853056443984e-05,9.04903872723725e-06,5.5275729603969e-06
"AACS",2.93123899564027e-06,1.40736357642985e-06,1.57801231626474e-05,1.2536685742261e-05,5.51770654099833e-06,5.34926415522281e-07
"AADAC",9.77079665213423e-07,1.56373730714428e-07,1.69939787905434e-06,2.12486199021374e-07,8.60762220395739e-06,5.34926415522281e-07
"AADAT",1.70011861747136e-05,1.56373730714428e-07,2.42771125579191e-07,2.12486199021374e-07,3.310623924599e-06,1.78308805174094e-07
"AAGAB",8.01205325475007e-06,7.03681788214925e-06,4.12710913484625e-06,4.27097260032961e-05,2.00844518092339e-05,8.02389623283421e-06
"AAK1",0.000422684663171327,0.000428620395888247,0.000343521142694556,0.000200799458075198,3.50926136007493e-05,0.000115365796947639
"AAMDC",2.93123899564027e-06,2.67399079521672e-05,2.45198836834983e-05,4.31346984013388e-05,8.58555137779339e-05,6.4726096278196e-05
"AAMP",5.66706205823786e-06,4.69121192143283e-07,1.48090386603307e-05,2.4435912887458e-05,7.72478915739766e-06,3.15606585158146e-05
"AANAT",1.36791153129879e-06,2.97110088357413e-06,9.46807389758846e-06,1.2536685742261e-05,1.10354130819966e-06,1.78308805174094e-07
"AAR2",5.66706205823786e-06,1.40736357642985e-06,6.06927813947978e-06,2.12486199021374e-07,2.86920740131913e-06,1.24816163621866e-06
"AARS1",3.10711333537869e-05,4.98832200979025e-05,1.33524119068555e-05,1.9336244110945e-05,8.54140972546541e-05,1.5156248439798e-05
"AARS2",0.000161999808492386,5.14469574050467e-05,8.01144714411331e-06,4.88718257749159e-06,2.00844518092339e-05,1.78308805174094e-07
"AARSD1",1.77828499068843e-05,1.17280298035821e-05,3.76295244647746e-05,2.76232058727786e-06,2.89127822748312e-05,2.4784923919199e-05
"AASDH",2.24728322999087e-05,4.22209072928955e-06,1.04391583999052e-05,4.88718257749159e-06,6.40053958755806e-06,1.15900723363161e-05
"AASDHPPT",9.16500725970191e-05,0.000143707458526559,2.18494013021272e-06,7.11828766721601e-05,0.000258007957857082,7.00753604334188e-05
"AASS",3.9669434407665e-05,6.55205931693452e-05,5.4623503255318e-05,1.08367961500901e-05,0.00023019871689045,8.02389623283421e-06
"AATBC",5.21760541223968e-05,4.22209072928955e-06,2.64620526881318e-05,2.23110508972442e-05,5.95912306427819e-06,1.78308805174094e-07
"AATF",4.59227442650309e-05,1.56373730714428e-07,1.82078344184393e-05,1.33866305383465e-05,2.42779087803926e-06,1.78308805174094e-07
"AATK",3.02894696216161e-05,9.85154503500895e-06,1.72367499161226e-05,5.71587875367495e-05,1.21389543901963e-05,1.96139685691503e-06
"ABAT",0.000406269724795742,0.000316969552158145,0.000223592206658435,7.43701696574807e-06,2.14087013790735e-05,5.29577151367058e-05
"ABCA1",5.25668859884822e-05,2.34560596071642e-06,2.06355456742313e-05,5.73712737357709e-06,2.42779087803926e-06,6.59742579144146e-06
"ABCA12",6.4487257904086e-06,1.56373730714428e-07,2.42771125579191e-07,2.33734818923511e-06,2.20708261639933e-07,1.78308805174094e-07
"ABCA13",4.49456645998175e-06,1.56373730714428e-07,7.28313376737574e-07,4.46221017944884e-06,5.51770654099833e-06,3.03124968795959e-06
"ABCA2",0.000111582497767373,3.59659580643184e-06,1.48090386603307e-05,8.56319382056135e-05,6.62124784919799e-07,2.22886006467617e-05
"ABCA3",6.31193463727872e-05,7.66231280500696e-06,1.91789189207561e-05,5.41839807504503e-05,5.84876893345822e-05,1.78308805174094e-07
"ABCA4",1.75874339738416e-06,7.81868653572139e-07,1.1410242902222e-05,8.28696176183357e-06,5.95912306427819e-06,2.31801446726322e-06
