"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"A1BG",6.79687924804953e-06,9.27398313866212e-07,9.55550102549637e-07,2.87788003844848e-06,6.65329797327237e-07,6.11689883016349e-07
"A1BG-AS1",2.88281430175894e-05,1.63840368783031e-05,2.48443026662906e-06,2.2137538757296e-07,2.19558833117988e-05,3.6905289608653e-05
"A1CF",3.98437749023593e-06,2.78219494159864e-06,5.15997055376804e-06,3.3206308135944e-06,4.2137553830725e-06,6.11689883016349e-07
"A2M",7.7343798339874e-06,2.50397544743877e-05,0.000128999263844201,2.05879110442853e-05,3.61495856547799e-05,4.05754289067511e-05
"A2M-AS1",5.85937866211166e-06,1.57657713357256e-05,1.47154715792644e-05,1.97024094939934e-05,2.21776599109079e-07,2.24286290439328e-06
"A2ML1",7.031254394534e-07,5.25525711190854e-06,2.1022102256092e-06,2.43512926330256e-06,1.08670533563449e-05,3.87403592577021e-06
"A4GALT",7.47656717285448e-05,4.04963930388246e-05,2.48443026662906e-06,6.41988623961583e-06,1.99598939198171e-06,3.1603977289178e-05
"A4GNT",1.64062602539127e-06,2.16392939902116e-06,1.91110020509927e-07,6.64126162718879e-07,4.2137553830725e-06,6.11689883016349e-07
"AAAS",3.96093997558748e-05,1.02013814525283e-05,6.3066306768276e-06,2.2137538757296e-07,1.30848193474357e-05,2.65065615973751e-06
"AACS",2.1093763183602e-06,4.01872602675359e-06,2.48443026662906e-06,3.76338158874032e-06,6.65329797327237e-07,1.52922470754087e-05
"AADAC",4.9218780761738e-06,9.27398313866212e-07,1.71999018458935e-06,6.64126162718879e-07,2.21776599109079e-07,1.83506964904905e-06
"AADAT",5.39062836914273e-06,1.54566385644369e-06,5.73330061529782e-07,8.63364011534543e-06,6.65329797327237e-07,7.13638196852407e-06
"AAGAB",4.14844009277506e-05,5.25525711190854e-06,1.71999018458935e-06,4.20613236388624e-06,5.07868411959791e-05,2.03896627672116e-07
"AAK1",5.55469097168186e-05,0.000360139678551379,7.83551084090702e-06,0.000374788531161021,0.000323572058100146,0.000433280333803247
"AAMDC",4.28906518066574e-05,4.2351189666557e-05,2.35065325227211e-05,3.16566804229333e-05,2.88309578841803e-06,8.13547544411744e-05
"AAMP",2.41406400879001e-05,1.14379125376833e-05,1.89198920304828e-05,6.41988623961583e-06,6.65329797327237e-07,1.89623863735068e-05
"AANAT",2.32031395019622e-05,2.78219494159864e-06,5.73330061529782e-07,2.2137538757296e-07,4.65730858129066e-06,3.46624267042598e-06
"AAR2",5.39062836914273e-06,1.54566385644369e-06,5.73330061529782e-07,4.20613236388624e-06,3.77020218485434e-06,1.83506964904905e-06
